movie_id,title,year,genre,duration,rating,votes,revenue_million,budget_million,language,country,director,main_cast,ott_platforms,content_rating,metascore,popularity,awards_won
1,Spider-Man: No Way Home 1452,2002,"Romance, Biography",88,6.9,1804482,101.5,117.0,French,India,Greta Gerwig,"Christian Bale, Aamir Khan, Scarlett Johansson","Prime Video, HBO Max, Apple TV+",G,67,65.0,9
2,Joker 66,1962,"Romance, Sci-Fi",84,8.1,1033296,2468.7,461.2,Spanish,South Korea,Quentin Tarantino,"Tom Hanks, Scarlett Johansson, Leonardo DiCaprio","Apple TV+, Disney+, HBO Max",PG,71,66.5,16
3,Parasite 415,2003,Sci-Fi,178,6.0,999683,1057.4,332.6,Korean,India,Ridley Scott,"Christian Bale, Tom Hanks, Scarlett Johansson","Apple TV+, Netflix, Prime Video",PG-13,55,27.3,19
4,Frozen 2009,1956,"Horror, Adventure",145,6.6,2501259,2396.0,209.3,Hindi,India,Rajkumar Hirani,"Shah Rukh Khan, Aamir Khan, Leonardo DiCaprio","Netflix, Prime Video, HBO Max",PG,83,71.2,10
5,Pathaan 1445,2002,"Horror, Fantasy, Comedy",95,4.6,41776,1487.9,165.1,Korean,UK,Rajkumar Hirani,"Prabhas, Tom Hanks, Robert Downey Jr.","Disney+, HBO Max",G,66,96.2,6
6,Joker 2004,2018,Fantasy,141,4.4,439470,2343.1,375.4,Spanish,India,Greta Gerwig,"Leonardo DiCaprio, Ranbir Kapoor, Christian Bale",Disney+,PG-13,54,46.5,10
7,Gladiator 1077,2013,Comedy,104,6.0,627467,1956.4,252.4,Hindi,India,James Cameron,"Scarlett Johansson, Aamir Khan, Alia Bhatt","Prime Video, Apple TV+, Netflix",G,43,79.3,19
8,Joker 313,2000,Action,116,9.3,1659984,2464.5,248.4,Hindi,India,Christopher Nolan,"Aamir Khan, Alia Bhatt, Ranbir Kapoor",Disney+,R,40,49.6,8
9,3 Idiots 236,1950,Comedy,96,5.3,2303217,1185.6,274.2,French,India,Christopher Nolan,"Tom Hanks, Leonardo DiCaprio, Shah Rukh Khan","Disney+, Apple TV+",PG-13,57,69.3,3
10,Spider-Man: No Way Home 1862,2011,"Biography, Drama",97,7.1,977266,1276.8,371.4,Korean,South Korea,Quentin Tarantino,"Tom Hanks, Shah Rukh Khan, Alia Bhatt",Netflix,PG,80,67.9,15
11,3 Idiots 1335,2012,"Thriller, Biography",124,7.2,1003095,1216.1,293.2,French,South Korea,James Cameron,"Aamir Khan, Alia Bhatt, Christian Bale","Apple TV+, Prime Video",PG,89,48.7,1
